"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
0.032000,-0.007789,0.022543,0.007927,-0.000604,0.000218,0.000091,0.001866,0.001541
0.032500,0.004282,0.013083,0.004422,-0.000379,-0.000125,0.000063,0.003163,-0.000729
0.033000,-0.019801,0.001392,-0.005291,-0.000900,0.000024,0.000077,0.002514,0.000893
0.033500,0.006228,0.014133,-0.016530,-0.000614,-0.000049,-0.000135,0.002190,0.002190
0.034000,-0.003754,-0.015298,0.021070,-0.000898,-0.000173,0.000049,0.003811,-0.001053
0.034500,-0.013786,0.016516,-0.009074,-0.001153,0.000124,0.000054,0.002838,0.001541
0.035000,-0.001678,0.000320,-0.008477,-0.000489,0.000054,0.000197,0.003811,-0.003647
0.035500,0.008274,0.019965,0.007369,-0.000487,-0.000287,-0.000020,0.002838,0.002190
0.036000,0.016300,0.020174,-0.029818,-0.000445,0.000359,-0.000014,0.003487,-0.002674
0.036500,0.000134,0.008295,0.010299,-0.000545,0.000206,-0.000163,0.003163,0.001866
0.037000,0.008210,0.010673,-0.013253,-0.000538,0.000216,-0.000132,0.002190,0.001541
0.037500,-0.005790,0.000339,0.004657,-0.000206,0.000019,0.000029,0.003811,-0.000080
0.038000,-0.019864,0.015467,-0.029422,-0.001019,0.000242,-0.000088,0.001866,0.002190
0.038500,0.004253,0.017825,0.007724,-0.000259,-0.000018,0.000038,0.003163,-0.000729
0.039000,0.006316,0.009263,-0.023112,-0.001110,-0.000262,-0.000029,0.002838,0.001866
0.039500,0.008386,0.027055,-0.008951,-0.000964,0.000074,0.000234,0.003163,-0.000729
0.040000,0.002256,0.002399,-0.022966,-0.000628,-0.000324,-0.000115,0.004136,0.000244
0.040500,-0.003583,0.031971,0.015868,-0.000551,-0.000253,0.000457,0.002838,0.002838
0.041000,0.006173,0.021357,-0.003001,-0.000245,0.000302,-0.000127,0.002514,0.001217
0.041500,-0.019784,0.022627,0.001790,-0.000692,0.000067,0.000169,0.002514,0.001217
0.042000,0.004195,0.005842,-0.027011,-0.000988,0.000219,-0.000195,0.002838,-0.001053
0.042500,-0.013913,-0.006969,0.010503,-0.000900,0.000296,-0.000145,0.003163,0.002838
0.043000,-0.009886,0.023470,0.003573,-0.001165,0.000457,-0.000107,0.004136,-0.001377
0.043500,0.004277,0.020042,0.034752,-0.000478,-0.000046,0.000151,0.002838,0.001866
0.044000,0.010223,0.011576,-0.010235,-0.000679,-0.000429,-0.000250,0.002838,0.000244
0.044500,0.024368,0.026936,-0.003074,-0.000738,0.000118,0.000073,0.002190,0.003487
0.045000,0.002219,0.011901,-0.019666,-0.000623,0.000196,-0.000079,0.003163,0.002514
0.045500,-0.001780,0.023739,-0.005812,-0.000649,0.000488,0.000067,0.001866,0.000244
0.046000,-0.007775,0.010803,-0.008920,-0.000575,0.000003,0.000029,0.002514,0.002838
0.046500,-0.023837,0.010813,-0.005248,-0.000755,-0.000124,0.000021,0.002514,-0.001377
0.047000,0.004230,0.013033,-0.023122,-0.000619,0.000074,-0.000107,0.002838,0.002838
0.047500,-0.015890,0.001187,0.017420,-0.000996,0.000111,-0.000089,0.002514,-0.001053
0.048000,-0.007748,0.024777,-0.012417,-0.001111,0.000307,0.000116,0.003487,0.001541
0.048500,0.002269,0.004877,0.004383,-0.000561,0.000140,0.000089,0.002838,-0.000080
0.049000,-0.001720,0.028340,-0.002170,-0.000671,0.000017,0.000120,0.002514,0.001866
0.049500,0.016231,0.024640,-0.003465,-0.000608,0.000247,-0.000125,0.002514,0.003163
0.050000,-0.011760,0.013138,-0.015476,-0.000703,-0.000111,0.000054,0.003487,-0.000729
0.050500,0.004333,0.010709,-0.022513,-0.000816,0.000076,0.000115,0.001866,0.002514
0.051000,-0.025968,-0.004283,0.024775,-0.000453,0.000550,-0.000031,0.003163,-0.000729
0.051500,-0.009847,0.018828,0.003968,-0.000861,0.000042,-0.000082,0.002514,0.003487
0.052000,0.010319,0.004803,0.011082,-0.000377,-0.000184,0.000090,0.002190,0.000568
0.052500,0.006212,0.011576,-0.000030,-0.000909,-0.000156,-0.000165,0.003487,-0.000404
0.053000,0.014276,0.023413,0.003556,-0.000800,0.000150,-0.000015,0.002838,0.000568
0.053500,-0.001774,0.011917,-0.032997,-0.000717,0.000110,-0.000083,0.002838,-0.000080
0.054000,-0.007668,0.020399,-0.011382,-0.000520,0.000218,0.000314,0.003811,0.004136
0.054500,0.010194,0.018988,-0.013243,-0.000261,0.000281,-0.000155,0.002514,-0.003972
0.055000,-0.015747,0.017845,-0.001710,-0.000907,0.000104,0.000196,0.003163,0.002514
0.055500,0.004259,0.020126,-0.022877,-0.000628,0.000153,-0.000020,0.002838,-0.000729
0.056000,-0.015789,-0.003336,0.011534,-0.000783,-0.000028,0.000106,0.002190,0.004136
0.056500,-0.013795,0.018891,-0.015823,-0.001001,-0.000016,-0.000002,0.002838,0.002838
0.057000,-0.001736,0.004839,0.004463,-0.000654,-0.000001,0.000086,0.002514,0.001217
0.057500,0.000238,0.017525,0.000490,-0.000920,-0.000208,-0.000054,0.002838,0.002514
0.058000,0.020380,0.031795,-0.016133,-0.000618,0.000194,0.000130,0.002514,-0.002350
0.058500,-0.003783,0.001357,-0.005867,-0.000673,0.000178,0.000000,0.003163,0.001866
0.059000,0.002276,0.016607,-0.015940,-0.000737,0.000222,0.000062,0.002190,-0.001053
0.059500,-0.009962,0.007182,0.027193,-0.000403,0.000234,-0.000220,0.003163,0.001866
0.060000,-0.007873,0.017772,-0.009656,-0.000728,0.000334,-0.000136,0.002190,-0.001053
0.060500,0.018231,0.016295,0.013261,-0.000465,-0.000205,-0.000185,0.002190,0.003487
0.061000,0.002208,-0.004812,0.003520,-0.000991,-0.000016,-0.000115,0.003163,0.002190
0.061500,0.000298,0.024706,-0.012557,-0.001068,0.000178,0.000118,0.003487,0.000568
0.062000,0.008174,-0.001133,0.006787,-0.000411,0.000053,-0.000191,0.002838,0.002190
0.062500,0.000282,0.036610,0.021627,-0.000343,-0.000059,0.000182,0.002838,-0.000080
0.063000,0.018375,0.025992,-0.026132,-0.000508,0.000124,0.000099,0.002838,0.003487
0.063500,-0.003833,0.015190,0.017175,-0.000928,0.000036,-0.000081,0.003487,0.000893
0.064000,0.002264,0.009323,-0.016428,-0.001153,0.000064,-0.000028,0.002190,0.002514
0.064500,-0.013795,0.011959,0.021616,-0.000794,0.000285,0.000170,0.003487,-0.000404
0.065000,-0.009784,0.016570,-0.005731,-0.000965,0.000209,0.000058,0.002838,0.002514
0.065500,0.012383,0.031814,0.004627,-0.000470,-0.000178,0.000210,0.002838,0.003163
0.066000,0.008240,0.014973,-0.000142,-0.001080,-0.000333,-0.000166,0.002190,0.000244
0.066500,0.018356,0.021006,0.010530,-0.000953,0.000101,0.000125,0.003163,0.002514
0.067000,-0.005778,0.009681,-0.029294,-0.000585,0.000160,-0.000027,0.003487,-0.001377
0.067500,0.000190,0.015351,0.027595,-0.000550,0.000173,0.000009,0.001866,0.003163
0.068000,0.010171,0.014235,-0.010076,-0.000286,0.000228,-0.000213,0.002838,0.000568
0.068500,-0.013854,0.011997,0.004400,-0.000658,0.000313,0.000002,0.002190,0.002838
0.069000,0.008284,0.024656,0.000566,-0.000790,0.000073,0.000038,0.002514,0.004136
0.069500,-0.003751,-0.012964,-0.002685,-0.001078,-0.000115,-0.000008,0.002838,0.000568
0.070000,-0.005844,0.032836,0.007064,-0.001023,0.000208,-0.000076,0.003163,0.004136
0.070500,0.006266,0.009686,0.004446,-0.000162,0.000111,0.000065,0.002838,0.000244
0.071000,0.004291,0.029278,0.000716,-0.000766,-0.000403,0.000006,0.002514,0.004136
0.071500,0.014334,0.030660,-0.029700,-0.000764,0.000369,0.000071,0.002514,-0.000080
0.072000,-0.009725,0.016785,-0.018535,-0.000542,0.000012,0.000142,0.003163,0.004784
0.072500,-0.001751,0.009523,-0.012663,-0.000960,0.000360,0.000059,0.001866,0.000244
0.073000,-0.011836,0.006289,0.014913,-0.000170,0.000215,0.000060,0.002190,0.001866
0.073500,-0.021874,0.018985,-0.009096,-0.001089,0.000417,-0.000001,0.002514,0.001217
0.074000,0.004329,0.022571,-0.005334,-0.000422,0.000038,0.000178,0.003163,0.004460
0.074500,0.006217,0.006680,-0.003732,-0.001265,-0.000343,-0.000227,0.003487,0.003811
0.075000,0.006279,0.021064,0.017390,-0.001086,0.000308,0.000122,0.002838,0.000244
0.075500,0.006229,0.014273,-0.009548,-0.000470,0.000252,-0.000047,0.003163,0.002514
0.076000,0.002306,0.026225,0.011754,-0.000256,0.000348,0.000267,0.002514,0.002514
0.076500,0.012167,0.024775,-0.006832,-0.000325,0.000323,-0.000209,0.001866,0.002190
0.077000,-0.011904,0.020020,0.024090,-0.000710,0.000132,-0.000108,0.002190,0.001217
