"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
0.032000,-0.010962,-0.010716,-0.010907,-0.000153,-0.000073,-0.000106,0.003811,0.002514
0.032500,-0.020899,-0.007153,-0.023659,-0.000458,-0.000207,0.000056,0.002514,0.002514
0.033000,-0.000811,-0.006927,-0.043856,0.000237,-0.000079,0.000067,0.003163,0.000244
0.033500,0.007069,0.011797,-0.017824,0.000521,0.000250,-0.000115,0.002838,0.002514
0.034000,-0.002949,-0.010589,-0.034648,0.000170,0.000018,-0.000186,0.003487,0.001217
0.034500,0.003152,0.006722,-0.021157,-0.000117,-0.000574,-0.000101,0.003163,0.001541
0.035000,-0.010999,0.010362,-0.021389,-0.000326,0.000087,-0.000184,0.002838,0.002838
0.035500,-0.002935,0.001071,-0.038041,0.000135,-0.000262,-0.000214,0.003163,-0.001053
0.036000,0.001019,-0.001173,-0.001035,0.000457,0.000179,-0.000149,0.003811,0.004460
0.036500,-0.014984,-0.010371,-0.027233,0.000414,0.000056,-0.000104,0.003163,0.002514
0.037000,0.001078,0.012822,0.005987,0.000391,-0.000186,-0.000064,0.002838,0.001217
0.037500,0.003104,0.016067,-0.001251,-0.000346,-0.000080,-0.000066,0.004460,0.003811
0.038000,0.021140,-0.006115,0.015496,0.000564,-0.000295,-0.000118,0.003487,0.000568
0.038500,-0.008926,-0.011673,-0.003612,0.000314,-0.000035,0.000010,0.003163,0.002838
0.039000,-0.020973,-0.009188,-0.016801,0.000144,0.000257,0.000036,0.003163,0.001541
0.039500,-0.000812,0.002535,-0.016615,0.000433,0.000051,0.000186,0.003163,0.001217
0.040000,0.009236,0.008114,-0.023999,-0.000014,-0.000058,0.000131,0.003811,0.005109
0.040500,0.007246,0.002323,-0.006729,0.000335,-0.000326,0.000186,0.004136,0.000568
0.041000,-0.020860,-0.023400,-0.023168,-0.000306,0.000046,0.000195,0.003811,0.005109
0.041500,-0.026903,-0.000971,-0.029727,-0.000139,0.000098,0.000173,0.002190,0.003163
0.042000,-0.002842,-0.015217,-0.020384,0.000104,0.000046,0.000094,0.002190,0.001866
0.042500,0.015238,0.006957,-0.027575,0.000164,-0.000039,0.000078,0.002838,0.004136
0.043000,-0.006931,-0.005762,-0.020601,0.000342,0.000063,-0.000044,0.003163,0.000244
0.043500,0.001208,-0.022586,-0.041138,-0.000506,-0.000297,0.000001,0.002838,0.002838
0.044000,-0.010880,-0.005962,-0.040817,-0.000178,-0.000321,-0.000052,0.002838,0.002190
0.044500,0.001051,-0.017845,-0.045376,-0.000296,0.000087,-0.000274,0.002190,0.001866
0.045000,0.013073,0.012823,-0.028446,0.000380,0.000135,-0.000227,0.002514,0.001866
0.045500,0.001015,-0.003541,-0.028196,0.000393,0.000045,-0.000265,0.003487,-0.002026
0.046000,0.011136,0.004282,-0.021714,-0.000088,-0.000535,-0.000210,0.002514,0.003163
0.046500,-0.004918,0.009140,-0.014441,-0.000333,-0.000058,-0.000071,0.002838,0.001866
